Christian,McCaffrey,CAR,16,411.2,287,1387,15,143,1005,4
Aaron,Jones,GB,16,294.3,236,1084,16,69,474,3
Derrick,Henry,TEN,15,291.6,303,1540,16,25,206,2
Ezekiel,Elliott,DAL,16,288.7,301,1357,12,72,420,2
Dalvin,Cook,MIN,14,269.9,250,1135,13,63,519,0
Austin,Ekeler,LAC,16,267,132,557,3,108,993,8
Nick,Chubb,CLE,16,243.2,298,1494,8,50,278,0
Mark,Ingram,BAL,15,229.5,202,1018,10,30,247,5
Leonard,Fournette,JAX,15,223.4,265,1152,3,100,522,0
Chris,Carson,SEA,15,222.2,278,1231,7,46,266,2
Saquon,Barkley,NYG,13,218.1,217,1003,6,73,438,2
Alvin,Kamara,NO,14,209.5,171,797,5,97,533,1
Joe,Mixon,CIN,16,208,278,1138,5,45,287,3
Todd,Gurley,NULL,15,205.9,223,857,12,50,207,2
Miles,Sanders,PHI,16,193.7,179,818,3,63,509,3
Kenyan,Drake,NULL,14,189.2,170,817,8,68,345,0
Josh,Jacobs,LV,13,183.6,242,1150,7,28,166,0
Le'Veon,Bell,NYJ,15,182,245,789,3,78,461,1
Phillip,Lindsay,DEN,16,180.2,224,1011,7,48,196,0
Marlon,Mack,IND,14,172.3,247,1091,8,17,82,0
Devonta,Freeman,NULL,14,172.1,184,656,2,71,410,4
Melvin,Gordon,NULL,12,165.8,162,612,8,55,296,1
James,White,NE,15,162.8,67,263,1,95,645,5
Raheem,Mostert,SF,15,162.2,137,772,8,22,180,2
David,Montgomery,CHI,16,161.9,242,889,6,35,185,1
Ronald,Jones,TB,16,154.8,172,724,6,41,309,0
Carlos,Hyde,NULL,16,152.2,245,1070,6,16,42,0
Sony,Michel,NE,16,148.8,247,914,7,20,94,0
Adrian,Peterson,WAS,15,142.5,211,898,5,23,142,0
Latavius,Murray,NO,16,140.2,146,637,5,43,235,1
Devin,Singletary,BUF,12,135.4,151,775,2,42,194,2
Duke,Johnson,HOU,16,134,83,410,2,62,410,3
James,Conner,PIT,10,130.5,116,464,4,39,251,3
Damien,Williams,KC,11,128.1,111,498,5,37,213,2
Jamaal,Williams,GB,14,126.8,107,460,1,45,253,5
David,Johnson,HOU,12,125.5,94,345,2,47,370,4
Tevin,Coleman,SF,14,124.9,137,544,6,30,180,1
Tarik,Cohen,CHI,16,124.4,64,213,0,104,456,3
Royce,Freeman,DEN,16,120.7,132,496,3,50,256,1
LeSean,McCoy,NULL,13,108.6,101,465,4,34,181,1
Peyton,Barber,NULL,16,108.5,154,470,6,24,115,1
Jordan,Howard,NULL,9,106.4,119,525,6,14,69,1
DeAndre,Washington,NULL,16,103.9,108,387,3,40,292,0
Matt,Breida,NULL,12,95.8,123,623,1,22,120,1
Gus,Edwards,BAL,16,91.1,133,711,2,8,45,0
Rex,Burkhead,NE,13,89.6,65,302,3,38,279,0
Frank,Gore,NULL,15,88.4,166,599,2,16,100,0
Boston,Scott,PHI,8,86.9,61,245,5,26,204,0
Nyheim,Hines,IND,16,85.9,52,199,2,58,320,0
Jaylen,Samuels,PIT,13,83.5,66,175,1,57,305,1
Kareem,Hunt,NULL,8,82.1,44,171,2,45,285,1
Kerryon,Johnson,DET,8,82,113,403,3,15,127,1
Tony,Pollard,DAL,14,81.7,86,455,2,20,107,1
Chase,Edmonds,ARI,10,76.8,60,303,4,21,105,1
Rashaad,Penny,SEA,9,73.3,65,370,3,11,83,1
Chris,Thompson,SF,11,72.6,37,138,0,58,378,0
J.D.,McKissic,NULL,15,66.8,38,205,0,42,233,1
Alexander,Mattison,MIN,13,65.4,100,462,1,12,82,0
Jalen,Richard,LV,16,64.8,39,145,0,43,323,0
Darrel,Williams,KC,9,62.3,41,141,3,20,167,1
Brian,Hill,NULL,10,62.2,78,323,2,14,69,1
Dare,Ogunbowale,TB,16,59.8,11,17,2,46,286,0
Benny,Snell,PIT,11,58.4,108,426,2,4,23,0
Malcolm,Brown,LAR,13,58.1,69,255,5,6,16,0
Dion,Lewis,NULL,15,55.8,54,209,0,32,164,1
Giovani,Bernard,CIN,16,55.4,53,170,0,43,234,0
Patrick,Laird,MIA,8,54.7,62,168,1,30,204,0
Derrius,Guice,WAS,5,53.9,42,245,2,10,79,1
Jordan,Wilkins,IND,12,50.5,51,307,2,11,43,0
Ty,Johnson,DET,15,50.2,63,273,0,31,109,0
Mike,Boone,MIN,5,48.5,49,273,3,4,17,0
Brandon,Bolden,NE,9,46.4,15,68,3,11,111,1
Justice,Hill,BAL,15,45.5,58,225,2,15,70,0
Jeff,Wilson,SF,8,45.4,27,105,4,5,34,1
Kalen,Ballage,MIA,12,44.8,74,135,3,24,63,0
Bo,Scarbrough,DET,6,44.7,89,377,1,4,5,0
Wayne,Gallman,NYG,9,44.7,29,110,2,16,102,1
Ryquell,Armstead,JAX,14,44.2,35,108,0,24,144,2
Kyle,Juszczyk,SF,9,40.6,3,7,0,24,239,1
Jonathan,Williams,NULL,4,37.9,49,235,1,5,59,0
Mark,Walton,NULL,7,36.5,53,201,0,21,89,0
Ameer,Abdullah,NULL,11,33.8,23,115,0,21,88,1
Dontrell,Hilliard,CLE,6,32.1,13,49,2,15,92,0
C.J.,Ham,MIN,13,31.1,7,17,0,27,149,1
Ito,Smith,ATL,7,30.8,22,106,1,14,87,0
Qadree,Ollison,ATL,6,30.2,22,50,4,2,7,0
Bilal,Powell,NULL,12,29.7,59,229,0,12,33,0
Myles,Gaskin,MIA,7,27.9,36,133,1,12,51,0
Darwin,Thompson,KC,10,27.6,38,128,1,10,43,0
Justin,Jackson,LAC,7,26.7,29,200,0,11,22,0
Reggie,Bonnafon,CAR,8,26.3,16,116,1,10,57,0
Ty,Montgomery,NULL,12,25.8,32,103,0,17,90,0
C.J.,Prosise,SEA,8,25.8,23,72,1,12,76,0
T.J.,Yeldon,BUF,4,25.2,17,63,0,16,124,0
Travis,Homer,SEA,4,22.5,18,114,0,13,56,0
Darrell,Henderson,LAR,7,20.4,39,147,0,6,37,0
Wendell,Smallwood,NULL,11,19,22,81,0,13,64,0
Trey,Edmunds,PIT,6,17,22,92,0,7,48,0
Wes,Hills,DET,1,15.2,10,21,2,2,1,0
Alec,Ingold,LV,11,15.1,10,17,0,6,44,1
Patrick,Ricard,BAL,7,14.7,0,0,0,11,47,1
Kerrith,Whyte,PIT,6,13.6,25,122,0,1,9,0
Dan,Vitale,NULL,9,13.5,1,3,0,12,97,0
Andy,Janovich,CLE,4,12.8,1,1,1,5,42,0
D'Ernest,Johnson,CLE,3,12.2,4,21,0,7,71,0
Darren,Sproles,NULL,6,12,17,66,0,10,24,0
Derek,Watt,PIT,8,11.7,7,10,1,5,32,0
Javorius,Allen,NYG,3,11,10,36,1,2,9,0
Jonathan,Hilliman,NYG,3,10.7,30,91,0,4,1,0
