Travis,Kelce,KC,16,207.8,136,97,1229,5
George,Kittle,SF,14,180,107,85,1053,5
Darren,Waller,LV,16,178,117,90,1145,3
Mark,Andrews,BAL,15,177.2,98,64,852,10
Zach,Ertz,PHI,15,171.6,134,88,916,6
Austin,Hooper,NULL,13,152.2,97,75,787,6
Jared,Cook,NO,14,146,65,43,705,9
Tyler,Higbee,LAR,14,125.9,89,69,734,3
Hunter,Henry,LAC,12,122.7,76,55,652,5
Dallas,Goedert,PHI,15,119.7,87,58,607,5
Mike,Gesicki,MIA,15,112.5,89,51,570,5
Jason,Witten,NULL,16,108.4,83,63,529,4
Greg,Olsen,SEA,14,97.7,81,52,597,2
Darren,Fells,NULL,15,93.1,48,34,341,7
Noah,Fant,DEN,16,93,67,40,562,3
Kyle,Rudolph,MIN,15,92.2,49,39,367,6
Jack,Doyle,IND,15,90.3,72,43,448,4
Evan,Engram,NYG,8,87.4,68,44,467,3
Jonnu,Smith,TEN,15,87.2,45,35,439,3
Tyler,Eifert,NULL,16,83.1,64,43,436,3
Jimmy,Graham,NULL,16,81.7,63,38,447,3
Ryan,Griffin,TB,13,79,41,34,320,5
Jacob,Hollister,SEA,10,73.4,59,41,349,3
Cameron,Brate,TB,14,73.1,56,36,311,4
Jordan,Akins,HOU,16,71.8,55,36,418,2
Gerald,Everett,LAR,12,71.3,61,37,408,2
Eric,Ebron,NULL,11,71,52,31,375,3
Blake,Jarwin,NULL,15,70,41,31,365,3
O.J.,Howard,TB,12,68.9,54,34,459,1
Dawson,Knox,BUF,15,65.7,50,28,388,2
T.J.,Hockenson,DET,12,64.7,59,32,367,2
Vance,McDonald,PIT,14,64.5,55,38,273,3
Will,Dissly,SEA,6,62.4,27,23,262,4
Hayden,Hurst,ATL,16,61.9,40,30,349,2
Irv,Smith,MIN,14,61.1,47,36,311,2
Kaden,Smith,NYG,7,60.3,42,31,268,3
Nick,Boyle,BAL,15,59.6,43,31,321,2
Foster,Moreau,LV,11,57.9,26,21,174,5
Ricky,Seals-Jones,NULL,9,53.9,22,14,229,4
Josh,Hill,NO,13,53.1,35,25,226,3
C.J.,Uzomah,CIN,13,49.7,40,27,242,2
Delanie,Walker,NULL,6,44,31,21,215,2
Jeremy,Sprinkle,WAS,16,43.1,40,26,241,1
Demetrius,Harris,CHI,12,40.4,27,15,149,3
Charles,Clay,NULL,15,38.7,24,18,237,1
James,O'Shaughnessy,JAX,5,34.3,20,14,153,2
Maxx,Williams,ARI,13,33.7,18,15,202,1
Anthony,Firkser,TEN,10,33.4,24,14,204,1
Rhett,Ellison,NULL,10,31.7,28,18,167,1
Logan,Thomas,NULL,13,31.3,28,16,173,1
Marcedes,Lewis,NULL,12,29.1,19,15,156,1
Dan,Arnold,ARI,5,28.7,14,8,127,2
Ross,Dwelley,SF,6,28.6,22,15,91,2
Ian,Thomas,CAR,9,27.6,31,16,136,1
Derek,Carrier,LV,9,26,19,13,108,1
Ben,Watson,NULL,9,25.8,24,17,173,0
Matt,LaCosse,NE,8,25.6,19,13,131,1
Jaeden,Graham,ATL,5,25.4,10,9,149,1
Nick,Vannett,PIT,13,25.1,22,17,166,0
Jeff,Heuerman,DEN,8,24.4,20,14,114,1
Nick,O'Leary,NULL,8,23.4,18,13,109,1
Vernon,Davis,NULL,4,23.3,19,10,123,1
Jesse,James,DET,13,22.2,27,16,142,0
Robert,Tonyan,GB,9,21,15,10,100,1
Ryan,Izzo,NE,5,20.4,9,6,114,1
Hale,Hentges,WAS,5,20.3,14,8,103,1
Seth,Devalve,NULL,7,20,19,12,140,0
Andrew,Beck,DEN,9,19.8,12,9,90,1
Joshua,Perkins,NULL,3,19.2,13,9,87,1
Jesper,Horsted,CHI,5,18.7,10,8,87,1
Virgil,Green,LAC,11,18.3,13,9,78,1
MyCole,Pruitt,NULL,6,18,8,6,90,1
Daniel,Brown,NYJ,6,16.7,11,7,72,1
Tyler,Kroft,BUF,8,16.1,14,6,71,1
Trey,Burton,CHI,8,15.4,25,14,84,0
Tommy,Sweeney,BUF,5,15.4,13,8,114,0
Ben,Braunecker,CHI,4,14.9,11,6,59,1
Stephen,Carlson,CLE,6,13.6,7,5,51,1
Mo,Alie-Cox,IND,9,13.3,11,8,93,0
Geoff,Swaim,NULL,6,13,17,13,65,0
Troy,Fumagalli,DEN,6,12.8,9,6,38,1
J.P.,Holtz,CHI,5,12.6,8,7,91,0
David,Njoku,CLE,3,12.6,10,5,41,1
Adam,Shaheen,CHI,7,11.9,13,9,74,0
Luke,Willson,SEA,6,11.9,10,8,79,0
Lee,Smith,BUF,5,11.1,5,4,31,1
Blake,Bell,NULL,11,10.7,15,8,67,0
Durham,Smythe,MIA,8,10,14,7,65,0
Tyler,Conklin,MIN,5,9.8,10,8,58,0
Luke,Stocker,NULL,11,9.3,14,8,53,0
Cethan,Carter,NULL,2,8.3,3,2,13,1
Clive,Walford,NULL,4,7.7,8,4,57,0
Ross,Travis,NYJ,3,7.1,6,4,51,0
Lance,Kendricks,NULL,4,6.5,7,3,50,0
Deon,Yelder,KC,3,6.5,4,3,50,0
Trevon,Wesco,NYJ,3,5.9,3,2,47,0
Drew,Sample,CIN,4,5.5,6,5,30,0
Johnny,Mundt,LAR,5,4.6,7,4,26,0
Pharaoh,Brown,NULL,3,3.7,3,2,27,0
Tanner,Hudson,TB,4,3.6,5,2,26,0
Codey,McElroy,TB,1,3.5,1,1,30,0
Eric,Saubert,CHI,2,3.1,3,2,21,0
Josh,Oliver,JAX,3,3,6,3,15,0
Isaac,Nauta,DET,2,2.3,3,2,13,0
Scott,Simonson,NULL,2,2.1,2,2,11,0
Levine,Toilolo,NYG,2,2,2,2,10,0
Sean,Culkin,NULL,2,1.7,2,1,12,0
Antony,Auclair,TB,2,1.6,3,1,11,0
Chris,Manhertz,CAR,1,1.6,1,1,11,0
Ben,Koyack,NULL,3,1.4,3,1,9,0
Jordan,Thomas,HOU,1,1.3,3,1,8,0
Chris,Herndon,NYJ,1,1.2,2,1,7,0
Dalton,Schultz,DAL,2,1.1,2,1,6,0
Charles,Jones,JAX,1,1,1,1,5,0
Tyrone,Swoopes,SEA,1,1,1,1,5,0
Darrell,Daniels,ARI,3,0.9,3,1,4,0
Zach,Gentry,PIT,1,0.9,1,1,4,0
Xavier,Grimble,IND,2,0.8,3,1,3,0
Eric,Tomlinson,NULL,1,0.6,1,1,1,0
Jace,Sternberger,GB,1,0,1,0,0,0
Jason,Vander,NO,1,0,1,0,0,0
