Michael,Thomas,NO,16,300.1,186,149,1725,9
Chris,Godwin,TB,14,231.1,119,86,1333,9
Julio,Jones,ATL,15,224.6,156,99,1394,6
Cooper,Kupp,LAR,16,223.6,134,94,1162,10
Kenny,Golladay,DET,16,217.5,116,65,1190,11
DeAndre,Hopkins,ARI,15,212.3,150,104,1165,7
DeVante,Parker,MIA,16,210.2,128,72,1202,9
Keenan,Allen,LAC,16,209.5,150,104,1199,6
Amari,Cooper,NULL,16,207,119,79,1189,8
Allen,Robinson,CHI,16,205.9,153,98,1147,7
Julian,Edelman,NE,16,200.4,154,100,1117,6
Mike,Evans,TB,13,197.2,118,67,1157,8
Jarvis,Landry,CLE,16,195.9,137,83,1174,6
Tyler,Lockett,SEA,16,194.2,111,82,1057,8
A.J.,Brown,TEN,16,191.1,84,52,1051,8
D.J.,Moore,NULL,15,189,135,87,1175,4
Robert,Woods,LAR,15,187.9,140,90,1134,2
D.J.,Chark,NULL,15,187.3,117,73,1008,8
Stefon,Diggs,BUF,15,186.6,93,63,1130,6
Courtland,Sutton,DEN,16,184.9,126,72,1112,6
Tyler,Boyd,CIN,16,181.8,147,90,1045,5
Michael,Gallup,DAL,14,179.7,112,66,1107,6
John,Brown,BUF,15,178.7,115,72,1060,6
Davante,Adams,GB,12,171.2,127,83,997,5
Odell,Beckham,CLE,16,165.5,133,74,1035,4
Calvin,Ridley,ATL,13,163.5,93,63,866,7
Marvin,Jones,DET,13,162.9,92,62,779,9
Terry,McLaurin,WAS,14,162.9,93,58,919,7
DK,Metcalf,SEA,16,162.1,100,58,900,7
Deebo,Samuel,SF,15,160.6,81,57,802,3
Tyreek,Hill,KC,12,159.3,88,58,860,7
Jamison,Crowder,NYJ,16,158.7,122,78,833,6
Emmanuel,Sanders,NULL,17,149.9,96,66,869,5
Cole,Beasley,BUF,15,147.3,105,67,778,6
Darius,Slayton,NYG,14,146,83,48,740,8
Curtis,Samuel,CAR,16,144.7,107,54,627,6
Larry,Fitzgerald,ARI,16,141.9,109,75,804,4
Mike,Williams,LAC,15,136.8,90,49,1001,2
Robby,Anderson,NULL,16,134.3,96,52,779,5
Christian,Kirk,ARI,13,132.2,108,68,709,3
Diontae,Johnson,PIT,16,131.6,92,59,680,5
Chris,Conley,JAX,16,131,91,47,775,5
Golden,Tate,NYG,11,129.7,85,49,676,6
Randall,Cobb,NULL,15,129.4,83,55,828,3
